question,entities_for_tables,entities_for_columns,query,tables,entities
What is the average latitude and longitude in San Jose?,['San Jose'],"['latitude', 'longitude']","SELECT avg(lat) ,  avg(long) FROM station WHERE city  =  ""San Jose""",['station'],"['San Jose', 'latitude', 'longitude']"
What is the id of the trip that has the shortest duration?,['trip'],"['id', 'duration']",SELECT id FROM trip ORDER BY duration LIMIT 1,['trip'],"['trip', 'id', 'duration']"
What is the id of the shortest trip?,['trip'],"['id', 'shortest']",SELECT id FROM trip ORDER BY duration LIMIT 1,['trip'],"['trip', 'id', 'shortest']"
What is the total and maximum duration of trips with bike id 636?,['trips'],"['duration', 'bike id']","SELECT sum(duration) ,  max(duration) FROM trip WHERE bike_id  =  636",['trip'],"['trips', 'duration', 'bike id']"
What is the total and maximum duration for all trips with the bike id 636?,['trips'],"['duration', 'bike id']","SELECT sum(duration) ,  max(duration) FROM trip WHERE bike_id  =  636",['trip'],"['trips', 'duration', 'bike id']"
"For each zip code, return the average mean temperature of August there.",['zip code'],"['mean temperature', 'August']","SELECT zip_code  ,  avg(mean_temperature_f) FROM weather WHERE date LIKE ""8/%"" GROUP BY zip_code",['weather'],"['zip code', 'mean temperature', 'August']"
"For each zip code, what is the average mean temperature for all dates that start with '8'?",['zip code'],"['mean temperature', 'dates']","SELECT zip_code  ,  avg(mean_temperature_f) FROM weather WHERE date LIKE ""8/%"" GROUP BY zip_code",['weather'],"['zip code', 'mean temperature', 'dates']"
"From the trip record, find the number of unique bikes.",['trip record'],['bikes'],SELECT count(DISTINCT bike_id) FROM trip,['trip'],"['trip record', 'bikes']"
How many different bike ids are there?,['bike'],['bike ids'],SELECT count(DISTINCT bike_id) FROM trip,['trip'],"['bike', 'bike ids']"
What is the number of distinct cities the stations are located at?,['stations'],['cities'],SELECT count(DISTINCT city) FROM station,['station'],"['stations', 'cities']"
How many different cities have these stations?,['stations'],['cities'],SELECT count(DISTINCT city) FROM station,['station'],"['stations', 'cities']"
How many stations does Mountain View city has?,['stations'],"['Mountain View', 'city']","SELECT COUNT(*) FROM station WHERE city  =  ""Mountain View""",['station'],"['stations', 'Mountain View', 'city']"
How many stations are in Mountain View?,['stations'],['Mountain View'],"SELECT COUNT(*) FROM station WHERE city  =  ""Mountain View""",['station'],"['stations', 'Mountain View']"
Return the unique name for stations that have ever had 7 bikes available.,['stations'],"['name', 'bikes available']",SELECT DISTINCT T1.name FROM station AS T1 JOIN status AS T2 ON T1.id  =  T2.station_id WHERE T2.bikes_available  =  7,"['status', 'station']","['stations', 'name', 'bikes available']"
What are the different names for each station that has ever had 7 bikes available?,['station'],"['names', 'bikes available']",SELECT DISTINCT T1.name FROM station AS T1 JOIN status AS T2 ON T1.id  =  T2.station_id WHERE T2.bikes_available  =  7,"['status', 'station']","['station', 'names', 'bikes available']"
Which start station had the most trips starting from August? Give me the name and id of the station.,"['trips', 'stations']","['start station', 'name', 'id', 'date']","SELECT start_station_name ,  start_station_id FROM trip WHERE start_date LIKE ""8/%"" GROUP BY start_station_name ORDER BY COUNT(*) DESC LIMIT 1",['trip'],"['trips', 'stations', 'start station', 'name', 'id', 'date']"
What are the start station's name and id for the one that had the most start trips in August?,['trips'],"['start station', 'name', 'id', 'start trips', 'August']","SELECT start_station_name ,  start_station_id FROM trip WHERE start_date LIKE ""8/%"" GROUP BY start_station_name ORDER BY COUNT(*) DESC LIMIT 1",['trip'],"['trips', 'start station', 'name', 'id', 'start trips', 'August']"
Which bike traveled the most often in zip code 94002?,['bike'],"['zip code', 'traveled', 'most often']",SELECT bike_id FROM trip WHERE zip_code  =  94002 GROUP BY bike_id ORDER BY COUNT(*) DESC LIMIT 1,['trip'],"['bike', 'zip code', 'traveled', 'most often']"
What is the id of the bike that traveled the most in 94002?,['bike'],"['id', 'traveled', '94002']",SELECT bike_id FROM trip WHERE zip_code  =  94002 GROUP BY bike_id ORDER BY COUNT(*) DESC LIMIT 1,['trip'],"['bike', 'id', 'traveled', '94002']"
How many days had both mean humidity above 50 and mean visibility above 8?,['days'],"['mean humidity', 'mean visibility']",SELECT COUNT(*) FROM weather WHERE mean_humidity  >  50 AND mean_visibility_miles  >  8,['weather'],"['days', 'mean humidity', 'mean visibility']"
What is the number of days that had an average humity above 50 and an average visibility above 8?,['days'],"['average humidity', 'average visibility', 'number']",SELECT COUNT(*) FROM weather WHERE mean_humidity  >  50 AND mean_visibility_miles  >  8,['weather'],"['days', 'average humidity', 'average visibility', 'number']"
"What is the latitude, longitude, city of the station from which the shortest trip started?","['station', 'trip']","['latitude', 'longitude', 'city', 'shortest']","SELECT T1.lat ,  T1.long ,  T1.city FROM station AS T1 JOIN trip AS T2 ON T1.id  =  T2.start_station_id ORDER BY T2.duration LIMIT 1","['trip', 'station']","['station', 'trip', 'latitude', 'longitude', 'city', 'shortest']"
"What is the latitude, longitude, and city of the station from which the trip with smallest duration started?","['station', 'trip']","['latitude', 'longitude', 'city', 'duration']","SELECT T1.lat ,  T1.long ,  T1.city FROM station AS T1 JOIN trip AS T2 ON T1.id  =  T2.start_station_id ORDER BY T2.duration LIMIT 1","['trip', 'station']","['station', 'trip', 'latitude', 'longitude', 'city', 'duration']"
What are the ids of stations that are located in San Francisco and have average bike availability above 10.,['stations'],"['ids', 'San Francisco', 'average bike availability']","SELECT id FROM station WHERE city  =  ""San Francisco"" INTERSECT SELECT station_id FROM status GROUP BY station_id HAVING avg(bikes_available)  >  10","['status', 'station']","['stations', 'ids', 'San Francisco', 'average bike availability']"
What are the ids of the stations in San Francisco that normally have more than 10 bikes available?,['stations'],"['ids', 'San Francisco', 'bikes available']","SELECT id FROM station WHERE city  =  ""San Francisco"" INTERSECT SELECT station_id FROM status GROUP BY station_id HAVING avg(bikes_available)  >  10","['status', 'station']","['stations', 'ids', 'San Francisco', 'bikes available']"
What are the names and ids of stations that had more than 14 bikes available on average or were installed in December?,['stations'],"['names', 'ids', 'bikes available', 'installed']","SELECT T1.name ,  T1.id FROM station AS T1 JOIN status AS T2 ON T1.id  =  T2.station_id GROUP BY T2.station_id HAVING avg(T2.bikes_available)  >  14 UNION SELECT name ,  id FROM station WHERE installation_date LIKE ""12/%""","['status', 'station']","['stations', 'names', 'ids', 'bikes available', 'installed']"
What are the names and ids of all stations that have more than 14 bikes available on average or had bikes installed in December?,['stations'],"['names', 'ids', 'bikes available', 'bikes installed']","SELECT T1.name ,  T1.id FROM station AS T1 JOIN status AS T2 ON T1.id  =  T2.station_id GROUP BY T2.station_id HAVING avg(T2.bikes_available)  >  14 UNION SELECT name ,  id FROM station WHERE installation_date LIKE ""12/%""","['status', 'station']","['stations', 'names', 'ids', 'bikes available', 'bikes installed']"
What is the 3 most common cloud cover rates in the region of zip code 94107?,['cloud cover'],"['cloud cover rates', 'zip code']",SELECT cloud_cover FROM weather WHERE zip_code  =  94107 GROUP BY cloud_cover ORDER BY COUNT (*) DESC LIMIT 3,['weather'],"['cloud cover', 'cloud cover rates', 'zip code']"
What are the 3 most common cloud covers in the zip code of 94107?,['cloud covers'],"['zip code', '94107']",SELECT cloud_cover FROM weather WHERE zip_code  =  94107 GROUP BY cloud_cover ORDER BY COUNT (*) DESC LIMIT 3,['weather'],"['cloud covers', 'zip code', '94107']"
What is the zip code in which the average mean sea level pressure is the lowest?,['zip code'],"['zip code', 'mean sea level pressure', 'average']",SELECT zip_code FROM weather GROUP BY zip_code ORDER BY avg(mean_sea_level_pressure_inches) LIMIT 1,['weather'],"['zip code', 'zip code', 'mean sea level pressure', 'average']"
What is the zip code that has the lowest average mean sea level pressure?,['zip code'],"['zip code', 'mean sea level pressure', 'average']",SELECT zip_code FROM weather GROUP BY zip_code ORDER BY avg(mean_sea_level_pressure_inches) LIMIT 1,['weather'],"['zip code', 'zip code', 'mean sea level pressure', 'average']"
What is the average bike availability in stations that are not located in Palo Alto?,"['stations', 'bike']","['bike availability', 'location']","SELECT avg(bikes_available) FROM status WHERE station_id NOT IN (SELECT id FROM station WHERE city  =  ""Palo Alto"")","['status', 'station']","['stations', 'bike', 'bike availability', 'location']"
What is the average bike availablility for stations not in Palo Alto?,['stations'],"['bike availability', 'Palo Alto']","SELECT avg(bikes_available) FROM status WHERE station_id NOT IN (SELECT id FROM station WHERE city  =  ""Palo Alto"")","['status', 'station']","['stations', 'bike availability', 'Palo Alto']"
What is the average longitude of stations that never had bike availability more than 10?,['stations'],"['longitude', 'bike availability']",SELECT avg(long) FROM station WHERE id NOT IN (SELECT station_id FROM status GROUP BY station_id HAVING max(bikes_available)  >  10),"['status', 'station']","['stations', 'longitude', 'bike availability']"
What is the mean longitude for all stations that have never had more than 10 bikes available?,['stations'],"['longitude', 'bikes available']",SELECT avg(long) FROM station WHERE id NOT IN (SELECT station_id FROM status GROUP BY station_id HAVING max(bikes_available)  >  10),"['status', 'station']","['stations', 'longitude', 'bikes available']"
